Store,avg_forecast_demand,avg_safety_stock,avg_reorder_point,avg_recommended_inventory,avg_stockout_risk_pct
1,4265.112102777778,3143.102394842397,32998.887114286845,62854.671833731285,5.000000000000007
2,4949.403136111111,7117.940777568325,41763.7627303461,76409.58468312389,5.0000000000000036
3,7144.959366666666,9215.488245993876,59230.20381266055,109244.91937932721,5.000000000000004
4,9585.163602777779,7113.649719081882,74209.79493852632,141305.94015797076,4.999999999999998
5,4630.563683333333,7164.887970422722,39578.83375375605,71992.77953708939,5.0000000000000036
6,4515.666141666667,5457.110583114849,37066.77357478152,68676.43656644817,5.000000000000005
7,9372.746149999999,10164.340573307116,75773.56362330711,141382.7866733071,5.0000000000000036
8,6380.126794444444,8666.476610281417,53327.36417139253,97988.25173250363,5.0000000000000036
9,7640.199830555556,7986.720235272432,61468.11904916132,114949.5178630502,5.0000000000000036
10,5820.850716666667,4614.884621936402,45360.839638603065,86106.79465526974,5.0000000000000036
11,7346.064219444444,7249.536328236074,58671.98586434718,110094.43540045829,5.000000000000004
12,7497.912394444445,10015.02449972061,62500.411260831715,114985.79802194283,5.0000000000000036
13,5028.100333333333,7058.55426049334,42255.25659382667,77451.95892716,5.000000000000004
14,5602.269658333334,6573.188938439685,45789.076546773016,85004.96415510635,5.0000000000000036
15,6865.201466666667,7081.749479783019,55138.15974644969,103194.57001311636,5.0000000000000036
16,7969.776855555556,8573.282082175905,64361.7200710648,120150.15805995368,5.0000000000000036
17,5993.177522222222,10172.993993472905,52125.23664902846,94077.47930458402,5.0000000000000036
18,7151.981502777778,7646.677706510309,57710.54822595476,107774.41874539919,5.0000000000000036
19,7104.198761111111,7960.108341106278,57689.49966888406,107418.89099666184,5.0000000000000036
20,8234.369530555556,7130.187985557659,64770.77469944655,122411.36141333543,5.000000000000006
21,5563.922361111111,8155.913918915805,47103.37044669359,86050.82697447136,5.0000000000000036
22,4687.8553694444445,5766.699945790589,38581.6875319017,71396.6751180128,5.0000000000000036
23,5464.465161111111,7393.348487451677,45644.60461522945,83895.86074300723,5.0000000000000036
24,9953.450616666667,12045.857005020378,81720.01132168705,151394.1656383537,5.0000000000000036
25,10671.645905555555,9550.881342314646,84252.40268120353,158953.9240200924,5.000000000000003
26,6750.477377777777,7295.735756716701,54549.07740116114,101802.4190456056,5.0000000000000036
27,9866.913055555555,14188.245749788892,83256.63713867779,152325.02852756667,5.000000000000004
28,4643.51765,7374.651369164091,39879.27491916409,72383.8984691641,5.000000000000004
29,8264.80645,9599.557297317733,67453.20244731773,125306.84759731771,5.000000000000005
30,4140.263661111111,4580.363176444462,33562.20880422224,62544.05443200002,5.000000000000005
31,5689.299244444444,4722.851360414664,44547.946071525774,84373.04078263689,5.000000000000004
32,4084.761213888889,5537.8432312099385,34131.17172843216,62724.50022565439,5.000000000000004
33,8221.733647222221,6734.3546323276005,64286.49016288316,121838.6256934387,5.000000000000003
34,8260.783844444444,6370.852811703389,64196.339722814504,122021.82663392561,5.0000000000000036
35,11573.696055555556,15894.125968355082,96909.99835724398,177925.87074613286,5.0000000000000036
36,9509.768577777777,5785.449589983526,72353.82963442797,138922.2096788724,5.000000000000005
37,6519.7990361111115,6520.356044783122,52158.9492975609,97797.54255033868,5.000000000000004
38,6250.0918694444445,8379.1566456569,52129.799731768006,95880.44281787911,5.000000000000004
39,4756.1038194444445,7375.571556112016,40668.29829222313,73961.02502833425,5.0000000000000036
40,4405.896722222223,2634.8962742889285,33476.17332984448,64317.45038540004,5.000000000000004
41,5666.588538888889,4982.976065594074,44649.0958378163,84315.21561003852,5.0000000000000036
42,10431.101652777777,12359.543854628573,85377.25542407302,158394.96699351745,5.000000000000004
43,6678.060275,8810.77621017195,55557.19813517195,102303.62006017196,5.000000000000006
44,5176.276547222222,6756.16609058975,42990.10192114531,79224.03775170086,5.000000000000005
45,5263.660133333334,5590.162345440956,42435.78327877429,79281.40421210762,5.0000000000000036
46,5145.934752777777,6133.039621324278,42154.582890768725,78176.12616021317,5.0000000000000036
47,7349.621208333333,8193.153353610767,59640.5018119441,111087.85027027743,5.0000000000000036
48,3421.3953305555556,3458.1971657029717,27407.964479591858,51357.73179348075,5.000000000000004
49,7503.350925,6414.143990860547,58937.60046586054,111461.05694086054,5.000000000000004
50,4509.947622222222,5622.54071258347,37192.17406813902,68761.80742369458,5.000000000000004
51,7020.763072222222,6250.749743651309,55396.09124920687,104541.43275476241,5.0000000000000036
52,6538.739902777777,7286.761634261659,53057.94095370611,98829.12027315056,5.000000000000004
53,5360.854152777778,6067.408120511909,43593.38718995635,81119.36625940079,5.000000000000002
54,7675.536719444444,7270.163958816953,60998.92099492807,114727.67803103918,5.0000000000000036
55,4953.463644444444,6163.888324649893,40838.13383576101,75512.37934687211,5.0000000000000036
